Chemicals_ID,Name,length,PMID
D008351,mannan,1,[23411445]
D008353,mannitol,1,[19625435]
D008358,mannose,5,"[16957893, 17015966, 8572714, 23411445, 12147080]"
C402688,mannosylglycerate,1,[16957893]
D020926,medetomidine,1,[19110694]
D008543,melanin,2,"[18648877, 22536431]"
D008550,melatonin,2,"[21196163, 8877814]"
D024482,menaquinone,1,[17329768]
D008619,mepivacaine hydrochloride,1,[6638647]
D008628,mercury,6,"[16015263, 23178837, 3696196, 15292952, 9652127, 15092824]"
D008670,metal,31,"[18224315, 17136435, 21394529, 11341702, 17832066, 21814288, 17464071, 21321442, 15197255, 12522264, 11436660, 18097639, 848952, 22275098, 21414636, 12355321, 20482121, 22319518, 20146276, 22386802, 15648827, 22371038, 18398463, 15066859, 11693652, 21184121, 11538653, 19353881, 18773201, 19477106, 18461394]"
D008670,metals,1,[17464071]
D008697,methane,45,"[22822404, 22355782, 20402778, 17136435, 23015773, 16642262, 22449300, 15198039, 17828281, 17148377, 19712334, 16623396, 11008690, 18497290, 23765884, 15197255, 22916172, 19181830, 18097639, 17839368, 17841485, 24213898, 22496753, 9734046, 16329971, 18219285, 19719622, 16332791, 20605205, 10731600, 9145497, 18699783, 15198040, 12148612, 21978364, 19833965, 22695860, 16119857, 15803662, 19137722, 20615296, 18368287, 23132300, 22140426, 18664583]"
C005231,methanethiol,1,[22469147]
D000432,methanol,1,[12013430]
D008715,methionine,2,"[17753956, 22362652]"
C013111,methionine sulfoxide,1,[17753956]
D008715,methionines,1,[2882764]
C027451,methylamine,2,"[6139233, 15651637]"
D008744,methylamines,2,"[12443924, 6139233]"
C073640,methylpendolmycin,1,[22362652]
C011934,mica,2,"[2958634, 2931439]"
D008982,molybdenum,1,[17831356]
C517284,monomethyl phthalate,1,[18651216]
D009005,monosaccharide,1,[10075759]
D009005,monosaccharides,2,"[15970992, 9134716]"
D039821,monoterpene,1,[19192777]
D005229,monounsaturated fatty acid,1,[15908251]
D005229,monounsaturated fatty acids,1,[16189794]
D009020,morphine,1,[21760818]
D006025,mucopolysaccharides,1,[18387836]
D009171,mycolic acid,2,"[9783174, 10068786]"
D043371,n-6 fatty acids,1,[20549377]
C007932,n-hexadecane,1,[1125858]
C026385,n-hexane,1,[17580701]
D060734,nacre,1,[17684750]
D009268,nalidixic acid,1,[16346897]
C031721,naphthalene,4,"[22260053, 18445026, 7613006, 18430013]"
D009356,neon,1,[12804366]
D009525,niacin,1,[22072996]
D009532,nickel,7,"[17831356, 17753598, 848952, 17799981, 17900925, 23129649, 11538653]"
C024376,nicotinic acid adenine dinucleotide phosphate,1,[17959608]
D009566,nitrate,26,"[20458400, 15136755, 11589224, 12732565, 19352028, 17774405, 19125919, 15265029, 17690469, 16854265, 17810867, 16945841, 12186758, 17469254, 15621658, 17267951, 12571018, 20927138, 17220442, 17221162, 16348934, 10872082, 20228216, 14742457, 16758861, 19689705]"
D009566,nitrates,1,[17469254]
D009569,nitric oxide,1,[20458400]
D009570,nitrile,3,"[9783174, 14533712, 11759050]"
D009570,nitriles,2,"[14533712, 11759050]"
D009573,nitrite,8,"[20458400, 17774405, 17690469, 17810867, 22469147, 10872082, 20228216, 18326567]"
D009584,nitrogen,43,"[23012370, 21209665, 20458400, 20398413, 22180817, 17072682, 21814288, 18876410, 21748268, 23178837, 19201976, 19712334, 12024255, 22916172, 18977758, 21491114, 17774405, 22695863, 22066702, 17839368, 15265029, 18217349, 22308450, 22993241, 2678665, 16945841, 27068208, 11697249, 9657711, 18706891, 23226143, 8617264, 12571018, 11760185, 19833965, 12882969, 11591717, 17789948, 8045314, 10872082, 22809182, 21544103, 19381756]"
D009609,nitrous oxide,1,[12186758]
C025256,nonylphenols,1,[19476957]
D009705,nucleoside,1,[22064543]
D009705,nucleosides,1,[11591717]
C054919,"o,p'-DDE",1,[23202382]
C474055,octylphenols,1,[19476957]
D009821,oil,21,"[20667884, 20702457, 19943883, 10904864, 22187459, 22441203, 21814288, 19062646, 18422956, 20673676, 17839368, 11588258, 22287903, 16535321, 11543277, 18217349, 8727645, 20736401, 18773201, 20228212, 22875705]"
C510819,okenone,1,[15938401]
